timestamp, client_id, client_ip, cpu_usage, ram_usage, disk_usage, net_usage
1775630367, 1, 127.0.0.1, 0.16, 4.68, 0.43, 0.00
1775630372, 1, 127.0.0.1, 0.11, 4.67, 0.43, 0.00
1775630377, 1, 127.0.0.1, 0.08, 4.67, 0.43, 0.00
1775630382, 1, 127.0.0.1, 0.09, 4.65, 0.43, 0.00
1775630387, 1, 127.0.0.1, 0.11, 4.66, 0.43, 0.00
1775630392, 1, 127.0.0.1, 0.04, 4.67, 0.43, 0.00
1775630397, 1, 127.0.0.1, 0.11, 4.67, 0.43, 0.00
1775630402, 1, 127.0.0.1, 0.12, 4.66, 0.43, 0.00
1775630407, 1, 127.0.0.1, 0.06, 4.68, 0.43, 0.00
1775630412, 1, 127.0.0.1, 0.10, 4.66, 0.43, 0.00
1775630417, 1, 127.0.0.1, 0.13, 4.67, 0.43, 0.00
1775630422, 1, 127.0.0.1, 0.09, 4.68, 0.43, 0.00
1775630476, 1, 127.0.0.1, 0.18, 4.65, 0.43, 0.00
1775630501, 1, 127.0.0.1, 0.05, 4.63, 0.43, 0.00
1775630486, 1, 127.0.0.1, 0.20, 4.64, 0.43, 0.00
1775630491, 1, 127.0.0.1, 0.12, 4.63, 0.43, 0.00
1775630496, 1, 127.0.0.1, 0.06, 4.62, 0.43, 0.00
1775630501, 1, 127.0.0.1, 0.21, 4.64, 0.43, 0.00
1775630506, 1, 127.0.0.1, 0.11, 4.63, 0.43, 0.00
1775630511, 1, 127.0.0.1, 0.11, 4.63, 0.43, 0.00
1775630516, 1, 127.0.0.1, 0.10, 4.63, 0.43, 0.00
1775630541, 1, 127.0.0.1, 0.08, 4.64, 0.43, 0.00
1775630526, 1, 127.0.0.1, 0.12, 4.64, 0.43, 0.00
1775630551, 1, 127.0.0.1, 0.14, 4.65, 0.43, 0.00
1775630536, 1, 127.0.0.1, 0.19, 4.64, 0.43, 0.00
1775630541, 1, 127.0.0.1, 0.18, 4.66, 0.43, 0.00
1775630566, 1, 127.0.0.1, 0.05, 4.66, 0.43, 0.00
1775630551, 1, 127.0.0.1, 0.11, 4.66, 0.43, 0.00
1775630556, 1, 127.0.0.1, 0.13, 4.65, 0.43, 0.00
1775630561, 1, 127.0.0.1, 0.14, 4.65, 0.43, 0.00
1775630587, 1, 127.0.0.1, 0.11, 4.66, 0.43, 0.00
1775630591, 1, 127.0.0.1, 0.09, 4.68, 0.43, 0.00
1775630596, 1, 127.0.0.1, 0.14, 4.68, 0.43, 0.00
